ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents   label   detailed-label
1526756405,CgPGgV3P9RYC28GqFe,192.168.2.5,38807,200.168.87.203,59353,tcp,-,2.992238,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756412,C5zPEJ35Czq0fPmfk6,192.168.2.5,38807,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756416,Cu0H6LHJYi1TxdK3b,192.168.2.5,38808,200.168.87.203,59353,tcp,-,2.991271,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756423,ChBOeg19Jvg54lMRj7,192.168.2.5,38808,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756427,Cpv5TnkhL0BkrRZN,192.168.2.5,38809,200.168.87.203,59353,tcp,-,2.990213,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756375,CBXL0R3qorl8q8a8we,192.168.2.5,123,5.1.56.123,123,udp,-,0.018314,48,48,SF,-,-,0,Dd,1,76,1,76,(empty)   Benign   -
1526756434,CTjHSz2cFkju691LE7,192.168.2.5,38809,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756438,CZOaQn3sy3fuFsVRQ7,192.168.2.5,38810,200.168.87.203,59353,tcp,-,2.999201,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756445,C7n6dwBJKsPVbG80b,192.168.2.5,38810,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756449,CTgeyD3BwjwfmoaT9j,192.168.2.5,38811,200.168.87.203,59353,tcp,-,2.998286,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756456,Cf24gz4rbIL3IIxI38,192.168.2.5,38811,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756460,CDJ2W842VIcibDpjKh,192.168.2.5,38812,200.168.87.203,59353,tcp,-,2.997323,0,0,S0,-,-,0,S,3,180,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
1526756408,CK8A9h3bGJzH1UY1Yb,192.168.2.5,123,31.31.74.35,123,udp,-,0.012828,48,48,SF,-,-,0,Dd,1,76,1,76,(empty)   Benign   -
1526756409,CSnv1j1rJ0LmIEOshf,192.168.2.5,123,78.108.102.237,123,udp,-,0.009598,48,48,SF,-,-,0,Dd,1,76,1,76,(empty)   Benign   -
1526756410,CuTPii1iguGKfZEUW9,192.168.2.5,123,37.157.198.150,123,udp,-,0.013885,48,48,SF,-,-,0,Dd,1,76,1,76,(empty)   Benign   -
1526756403,CDoSAt2DOdGEtBAhjl,192.168.2.5,45623,111.230.241.23,2407,tcp,irc,64.045412,92,190,RSTR,-,-,0,ShADadfrr,8,516,10,670,(empty)   Malicious   C&C
1526756467,C4PcoE1ihjIIDyCWwg,192.168.2.5,38812,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty)   Malicious   PartOfAHorizontalPortScan
